year,borough,hour,injured,killed
2016,Staten Island,16,208,0
2016,Staten Island,17,270,4
2016,Staten Island,18,194,0
2016,Staten Island,19,170,0
2016,Staten Island,20,112,0
2016,Staten Island,21,96,0
2016,Staten Island,22,88,0
2016,Staten Island,23,74,0
2016,Unspecified,0,1763,10
2016,Unspecified,1,995,6
2016,Unspecified,2,883,16
2016,Unspecified,3,628,6
2016,Unspecified,4,942,18
2016,Unspecified,5,796,16
2016,Unspecified,6,1209,10
2016,Unspecified,7,1540,0
2016,Unspecified,8,2053,4
2016,Unspecified,9,1905,2
2016,Unspecified,10,1712,12
2016,Unspecified,11,1823,12
2016,Unspecified,12,1997,2
2016,Unspecified,13,2034,10
2016,Unspecified,14,2650,0
2016,Unspecified,15,2748,6
2016,Unspecified,16,2940,6
2016,Unspecified,17,3132,2
2016,Unspecified,18,2707,10
2016,Unspecified,19,2260,12
2016,Unspecified,20,2036,24
2016,Unspecified,21,2156,16
2016,Unspecified,22,1811,12
2016,Unspecified,23,1752,18
2017,Bronx,0,464,0
2017,Bronx,1,213,0
2017,Bronx,2,168,0
2017,Bronx,3,111,2
2017,Bronx,4,155,0
2017,Bronx,5,152,0
2017,Bronx,6,227,0
2017,Bronx,7,392,0
2017,Bronx,8,592,0
2017,Bronx,9,554,2
2017,Bronx,10,450,4
2017,Bronx,11,480,2
2017,Bronx,12,498,4
2017,Bronx,13,600,0
2017,Bronx,14,704,2
2017,Bronx,15,702,0
2017,Bronx,16,759,2
2017,Bronx,17,914,0
2017,Bronx,18,752,2
2017,Bronx,19,631,2
2017,Bronx,20,596,0
2017,Bronx,21,604,6
2017,Bronx,22,525,4
2017,Bronx,23,448,2
2017,Brooklyn,0,878,2
2017,Brooklyn,1,417,2
2017,Brooklyn,2,240,2
2017,Brooklyn,3,292,8
2017,Brooklyn,4,329,2
2017,Brooklyn,5,275,4
2017,Brooklyn,6,455,8
2017,Brooklyn,7,710,6
2017,Brooklyn,8,1248,0
2017,Brooklyn,9,1010,2
2017,Brooklyn,10,920,2
2017,Brooklyn,11,970,0
2017,Brooklyn,12,1161,2
2017,Brooklyn,13,1244,0
2017,Brooklyn,14,1504,2
2017,Brooklyn,15,1648,10
2017,Brooklyn,16,1713,6
2017,Brooklyn,17,1712,7
2017,Brooklyn,18,1712,4
2017,Brooklyn,19,1400,4
2017,Brooklyn,20,1248,6
2017,Brooklyn,21,1117,2
2017,Brooklyn,22,1028,0
2017,Brooklyn,23,869,0
2017,Manhattan,0,491,4
2017,Manhattan,1,222,2
2017,Manhattan,2,194,2
2017,Manhattan,3,214,2
2017,Manhattan,4,226,4
2017,Manhattan,5,180,2
